Date,Investment_Value
2010-05-05,334.11879682901645
2010-05-06,325.7657105683697
2010-05-07,316.8907309263145
2010-05-10,331.70433064177246
2010-05-11,330.9212053492075
2010-05-12,336.01121951882453
2010-05-13,333.46621243401603
2010-05-14,326.0921528818975
2010-05-17,325.961491891511
2010-05-18,322.3072174326649
2010-05-19,320.2189233500991
2010-05-20,307.8853004563115
2010-05-21,311.1480422920807
2010-05-24,308.0809616866307
2010-05-25,308.3420134585542
2010-05-26,307.29786641727134
2010-05-27,317.15175267503264
2010-05-28,313.9540711256072
2010-06-01,308.0157512842596
2010-06-02,314.9330678109299
2010-06-03,317.02283028996845
2010-06-04,306.3753788605374
2010-06-07,301.18149647183446
2010-06-08,303.1292658405835
2010-06-09,301.6359331780583
2010-06-10,310.4005518365666
2010-06-11,313.58181786761475
2010-06-14,315.1401169976066
2010-06-15,321.0482720927595
2010-06-16,320.9183690274665
2010-06-17,320.3339993863096
2010-06-18,321.5893904948859
2010-06-21,319.63806663895133
2010-06-22,315.27987704417035
2010-06-23,313.3284934489553
2010-06-24,308.5800868744118
2010-06-25,309.5557786720193
2010-06-28,309.2305580293635
2010-06-29,296.4165122469718
2010-06-30,294.46509878211657
2010-07-01,293.6843959958295
2010-07-02,294.13972879125976
2010-07-06,292.8389656991976
2010-07-07,301.7501845518788
2010-07-08,304.9375141198905
2010-07-09,306.75875569269084
2010-07-12,307.53933900041704
2010-07-13,312.4178875973752
2010-07-14,312.6779326850829
2010-07-15,313.5886281455836
2010-07-16,304.2219570189113
2010-07-19,306.04328820063233
2010-07-20,310.9868032650571
2010-07-21,306.4986209960626
2010-07-22,312.9380673817113
2010-07-23,316.2555987114181
2010-07-26,320.5577027633408
2010-07-27,319.3167453047908
2010-07-28,316.7694773738137
2010-07-29,315.5285199152637
2010-07-30,316.1816901475796
2010-08-02,322.58235652873327
2010-08-03,320.55770276334084
2010-08-04,324.08454608956407
2010-08-05,323.03970765705475
2010-08-06,320.94964089337594
2010-08-09,323.56208188500244
2010-08-10,321.27616602512467
2010-08-11,312.1975256852396
2010-08-12,309.9769328470343
2010-08-13,308.53994633905745
2010-08-16,307.7562800244197
2010-08-17,312.85063593314624
2010-08-18,312.7964048588844
2010-08-19,305.9825041077836
2010-08-20,304.62606194216795
2010-08-23,303.8693630918225
2010-08-24,301.274975222877
2010-08-25,300.95068390496766
2010-08-26,299.5454310816387
2010-08-27,304.84226570838604
2010-08-30,301.8337407776775
2010-08-31,303.03253785094137
2010-09-01,311.5317987648308
2010-09-02,313.71108310017604
2010-09-03,319.040555898514
2010-09-07,316.01401333382864
2010-09-08,317.607156720797
2010-09-09,318.98588884865745
2010-09-10,319.9702172658699
2010-09-13,322.54048546718747
2010-09-14,323.45495420788967
2010-09-15,324.630644027796
2010-09-16,323.5855797446831
2010-09-17,323.7567416038584
2010-09-20,328.617773293892
2010-09-21,327.2520228032177
2010-09-22,326.6667905810451
2010-09-23,324.5856469762081
2010-09-24,331.99957204062696
2010-09-27,330.503779880213
2010-09-28,332.2597746023569
2010-09-29,330.8069001799
2010-09-30,330.4716078924387
2010-10-01,331.9804820092225
2010-10-04,329.6334065853898
2010-10-05,337.2006589707757
2010-10-06,335.3741199850568
2010-10-07,335.0479661901015
2010-10-08,337.7878494128807
2010-10-11,337.9181734015332
2010-10-12,339.87533535270813
2010-10-13,341.4405621915952
2010-10-14,340.3368702928065
2010-10-15,342.93396218912324
2010-10-18,344.3623166110351
2010-10-19,337.67494110954215
2010-10-20,342.6091508883797
2010-10-21,342.8041090820836
2010-10-22,344.2973007909431
2010-10-25,345.372834504834
2010-10-26,344.5974557966478
2010-10-27,343.41061847151406
2010-10-28,344.5083330647694
2010-10-29,344.44381558577726
2010-11-01,345.412376840353
2010-11-02,348.8994281991816
2010-11-03,349.58346348557734
2010-11-04,355.3991951773755
2010-11-05,357.0793039992917
2010-11-08,355.946237745958
2010-11-09,352.49050345564507
2010-11-10,355.1964927576368
2010-11-11,353.3280104074723
2010-11-12,348.3025848305441
2010-11-15,347.593850145999
2010-11-16,341.08649524596154
2010-11-17,342.76171584667406
2010-11-18,348.2381544046764
2010-11-19,349.5911638197478
2010-11-22,350.62210968993406
2010-11-23,345.8544058164769
2010-11-24,351.9751486331567
2010-11-26,349.59116381974786
2010-11-29,349.91340453354013
2010-11-30,347.6583691563203
2010-12-01,355.0675137932968
2010-12-02,358.97367529815784
2010-12-03,360.584038820277
2010-12-06,360.5196538002634
2010-12-07,360.6483943194195
2010-12-08,359.7466497887752
2010-12-09,360.71289742291776
2010-12-10,362.9672587495287
2010-12-13,363.25184637899247
2010-12-14,363.0587407512929
2010-12-15,361.5129511592159
2010-12-16,363.8959844113463
2010-12-17,364.2173658497396
2010-12-20,365.50645979379846
2010-12-21,367.8579119438324
2010-12-22,370.2666961075218
2010-12-23,369.8766270533961
2010-12-27,370.0067293356416
2010-12-28,370.5792657702304
2010-12-29,371.15177227296857
2010-12-30,371.15177227296857
2010-12-31,371.15177227296857
2011-01-03,375.0057290823103
2011-01-04,375.1201516359745
2011-01-05,377.4106684225512
2011-01-06,376.1638344482214
2011-01-07,375.310682231138
2011-01-10,375.4830301822121
2011-01-11,377.4933358439749
2011-01-12,380.5849376856119
2011-01-13,379.7955144482372
2011-01-14,382.0319328514134
2011-01-18,382.5462285677484
2011-01-19,378.9404371438934
2011-01-20,380.1460593074683
2011-01-21,383.18912733551
2011-01-24,384.4522043909277
2011-01-25,383.9208404815042
2011-01-26,385.5285853252192
2011-01-27,386.33247275785897
2011-01-28,379.24332288553086
2011-01-31,381.2441619785583
2011-02-01,388.7330518815552
2011-02-02,387.4179389374184
2011-02-03,387.7490907630038
2011-02-04,389.14054661286025
2011-02-07,391.923488615632
2011-02-08,393.5137022275689
2011-02-09,393.0498836109501
2011-02-10,393.164659298807
2011-02-11,396.4386793388164
2011-02-14,396.9557104790134
2011-02-15,395.4621850839644
2011-02-16,398.2192340443145
2011-02-17,399.9998187800816
2011-02-18,401.0912689044042
2011-02-22,393.3944809469414
2011-02-23,391.0550626678091
2011-02-24,391.5229157569892
2011-02-25,396.3350840266743
2011-02-28,397.3376700272693
2011-03-01,391.6567365347516
2011-03-02,392.7928682132917
2011-03-03,400.1447274290573
2011-03-04,396.8029371158545
2011-03-07,393.6616945694171
2011-03-08,396.40202498220185
2011-03-09,395.1321642258385
2011-03-10,388.1811865770793
2011-03-11,391.2557021345136
2011-03-14,388.98322481090895
2011-03-15,384.83945739716927
2011-03-16,377.4875064814647
2011-03-17,381.8317910953233
2011-03-18,381.67076600230087
2011-03-21,385.3806288055548
2011-03-22,384.91447733705854
2011-03-23,386.51285400505947
2011-03-24,390.5749660596106
2011-03-25,392.2398620960735
2011-03-28,391.9069010966372
2011-03-29,394.03797894802346
2011-03-30,397.0347596320959
2011-03-31,397.1015123686695
2011-04-01,398.3022712940476
2011-04-04,398.5329573518405
2011-04-05,399.1671564489311
2011-04-06,400.10437069799286
2011-04-07,398.8993896647147
2011-04-08,396.4894886067672
2011-04-11,396.4894886067672
2011-04-12,393.2093912565732
2011-04-13,395.6862187584225
2011-04-14,395.2176726425005
2011-04-15,397.2467586724684
2011-04-18,393.6872803067957
2011-04-19,394.5587066056372
2011-04-20,401.1838172047917
2011-04-21,402.0596504754549
2011-04-25,401.3935070623261
2011-04-26,405.0570530045287
2011-04-27,405.6565395810936
2011-04-28,405.7145718458063
2011-04-29,407.5108876072221
2011-05-02,407.7100368667782
2011-05-03,406.25073734486506
2011-05-04,403.3987531087579
2011-05-05,400.54661775012863
2011-05-06,402.1384819483831
2011-05-09,403.9292536101584
2011-05-10,407.8351610355122
2011-05-11,403.4554780296958
2011-05-12,406.3752062228344
2011-05-13,403.3227603628529
2011-05-16,400.137687552137
2011-05-17,399.3413210736737
2011-05-18,403.5217915050629
2011-05-19,404.1190058865047
2011-05-20,401.7301785994407
2011-05-23,397.4832132604672
2011-05-24,397.7486183554502
2011-05-25,399.14222945405805
2011-05-26,400.8674684069075
2011-05-27,401.39842979038775
2011-05-31,404.25169331464485
2011-06-01,398.47876207465487
